employee_id,age,gender,department,job_role,education_level,monthly_salary,years_at_company,years_since_promotion,num_projects,avg_weekly_hours,overtime,satisfaction_score,performance_rating,work_life_balance,distance_from_home,marital_status,attrition
EMP-1023,46,Other,Engineering,Analyst,PhD,54365.82,8,2,2,46.6,Yes,3.5,2,2,45,Married,Yes
EMP-1024,35,Male,Engineering,Senior Engineer,Bachelor's,77018.69,1,0,1,43.3,No,1.6,3,2,38,Divorced,No
EMP-1025,33,Female,Engineering,Executive,Bachelor's,145976.8,11,3,8,57.5,Yes,1.0,5,1,14,Single,No
EMP-1026,33,Female,Operations,Analyst,Bachelor's,52038.05,8,4,9,54.3,Yes,2.1,4,1,13,Married,No
EMP-1027,40,Male,Engineering,Manager,PhD,112241.86,1,0,8,53.0,No,2.2,3,1,26,Married,Yes
EMP-1028,39,Male,Engineering,Senior Engineer,Bachelor's,65070.47,2,1,1,46.2,Yes,2.8,5,4,40,Married,No
EMP-1029,39,Female,Engineering,Analyst,Master's,46629.37,0,0,7,59.5,No,4.3,4,1,5,Single,No
EMP-1030,39,Male,Finance,Executive,Bachelor's,141597.82,6,3,4,52.8,Yes,1.0,1,3,32,Single,No
EMP-1031,53,Female,HR,Analyst,Master's,54254.93,12,10,10,45.6,Yes,3.0,1,4,43,Married,No
EMP-1032,33,Other,Marketing,Analyst,Master's,49090.28,5,4,9,59.0,Yes,1.0,5,1,25,Married,No
EMP-1033,32,Male,Sales,Associate,Bachelor's,32651.83,2,0,8,57.4,Yes,3.1,3,1,3,Married,Yes
EMP-1034,29,Male,Engineering,Executive,Master's,150000.0,3,0,5,53.5,Yes,3.6,4,1,2,Single,No
EMP-1035,41,Male,Operations,Executive,Master's,150000.0,15,6,4,54.2,No,3.7,1,1,9,Married,No
EMP-1036,45,Male,Engineering,Senior Engineer,Bachelor's,88496.54,10,3,9,45.6,No,4.9,2,2,45,Married,No
EMP-1037,35,Male,Engineering,Manager,Bachelor's,92214.32,8,8,2,47.7,No,4.3,5,2,23,Single,No
EMP-1038,29,Female,HR,Associate,Bachelor's,40266.22,8,3,2,39.8,Yes,1.0,5,3,8,Married,No
EMP-1039,29,Male,Engineering,Manager,PhD,134681.74,30,3,1,49.9,No,1.0,2,3,46,Married,No
EMP-1040,41,Female,Engineering,Senior Engineer,Master's,72618.6,2,1,6,44.2,No,1.1,3,1,42,Married,No
EMP-1041,42,Male,Finance,Senior Engineer,Master's,85230.14,8,7,1,43.7,No,2.8,4,2,8,Divorced,No
EMP-1042,40,Male,Sales,Senior Engineer,Master's,82099.24,1,0,6,58.7,Yes,2.5,4,3,35,Married,No
EMP-1043,31,Male,Engineering,Senior Engineer,Master's,85870.39,2,2,2,39.1,No,2.9,3,5,17,Married,No
EMP-1044,38,Female,Sales,Analyst,Bachelor's,51351.32,3,0,9,55.7,Yes,2.3,3,1,4,Single,No
EMP-1045,37,Male,Marketing,Analyst,Bachelor's,45696.83,1,1,5,42.0,No,2.8,5,3,4,Single,No
EMP-1046,38,Male,Engineering,Analyst,Master's,53945.12,4,2,1,35.7,No,1.2,3,5,28,Single,No
EMP-1047,43,Female,Engineering,Senior Engineer,Bachelor's,86469.07,6,3,7,36.0,No,1.9,3,1,43,Married,Yes
EMP-1048,38,Female,Marketing,Associate,Bachelor's,34191.78,7,1,4,45.7,No,5.0,3,1,49,Married,No
EMP-1049,41,Male,Marketing,Senior Engineer,Master's,87041.7,9,7,3,46.4,Yes,1.2,2,1,36,Single,No
EMP-1050,37,Other,Operations,Associate,Master's,46619.04,4,3,7,43.0,No,2.3,4,2,47,Single,Yes
EMP-1051,38,Male,Sales,Executive,Master's,150000.0,4,2,10,51.7,Yes,1.0,3,3,12,Married,Yes
EMP-1052,41,Male,Engineering,Senior Engineer,High School,68670.48,1,0,10,47.1,No,4.9,4,2,8,Married,No
EMP-1053,24,Male,HR,Manager,PhD,126409.65,14,6,5,36.9,No,1.9,3,2,6,Married,Yes
EMP-1054,33,Male,Marketing,Associate,Bachelor's,30358.03,2,1,9,43.7,No,3.6,2,2,9,Married,No
EMP-1055,32,Male,Engineering,Director,Bachelor's,104307.93,0,0,3,37.5,No,1.2,5,2,38,Divorced,No
EMP-1056,31,Female,HR,Associate,PhD,37454.5,3,3,9,36.6,No,1.3,4,5,8,Single,No
EMP-1057,34,Male,Engineering,Senior Engineer,Master's,85448.84,4,0,10,40.2,No,3.9,3,1,22,Married,No
EMP-1058,48,Female,Finance,Team Lead,PhD,85002.15,15,2,6,52.5,Yes,2.9,1,1,38,Married,No
EMP-1059,29,Other,Finance,Team Lead,Master's,67501.21,1,1,6,52.4,No,3.7,4,3,47,Married,No
EMP-1060,44,Female,Sales,Team Lead,Master's,69184.67,5,4,6,56.5,Yes,1.1,4,1,9,Divorced,Yes
EMP-1061,23,Female,Operations,Associate,Bachelor's,29998.07,3,1,1,53.9,No,4.9,4,1,10,Single,No
EMP-1062,33,Female,Operations,Analyst,Bachelor's,47821.84,1,1,9,48.4,Yes,2.3,4,4,4,Married,No
EMP-1063,37,Other,Engineering,Associate,PhD,35009.53,3,0,8,42.8,No,4.9,3,2,6,Married,No
EMP-1064,41,Male,Sales,Manager,Master's,84760.94,0,0,9,35.1,No,1.7,5,2,20,Divorced,No
EMP-1065,42,Male,Marketing,Manager,Bachelor's,81568.76,7,1,2,51.2,Yes,1.9,3,1,16,Married,No
EMP-1066,42,Female,Engineering,Senior Engineer,Bachelor's,67464.9,1,1,9,42.2,No,2.3,3,1,49,Married,No
EMP-1067,33,Female,Sales,Associate,Bachelor's,35041.89,3,2,4,41.3,No,4.0,4,1,23,Married,No
EMP-1068,32,Male,Engineering,Director,Bachelor's,126307.27,3,0,9,59.4,Yes,2.5,1,1,16,Married,No
EMP-1069,43,Female,Operations,Manager,Master's,97663.44,16,8,10,39.4,No,2.9,3,3,24,Married,No
EMP-1070,34,Male,Sales,Associate,High School,29952.52,3,1,9,35.8,No,1.1,3,3,37,Married,No
EMP-1071,26,Other,Finance,Director,Bachelor's,97446.66,2,1,10,58.7,Yes,1.0,4,1,17,Single,No
EMP-1072,27,Male,Sales,Manager,PhD,101127.79,6,5,2,42.7,Yes,1.0,4,4,8,Married,No
EMP-1073,29,Male,Engineering,Analyst,Bachelor's,44916.86,1,1,4,44.8,No,4.4,4,2,22,Divorced,No
EMP-1074,40,Male,Operations,Analyst,Bachelor's,48801.62,3,0,3,37.0,No,2.2,3,1,32,Married,No
EMP-1075,37,Male,Engineering,Team Lead,Bachelor's,51753.54,2,1,6,45.1,No,1.5,3,1,16,Married,No
EMP-1076,42,Male,Engineering,Analyst,High School,60554.56,30,2,10,59.3,Yes,1.8,4,2,30,Divorced,No
EMP-1077,33,Male,Sales,Manager,Bachelor's,77221.78,1,1,7,52.4,Yes,1.0,4,1,17,Married,No
EMP-1078,37,Male,Marketing,Team Lead,High School,60819.73,15,8,6,46.8,No,4.9,3,2,46,Divorced,No
EMP-1079,41,Male,Sales,Associate,Bachelor's,33675.84,1,1,9,42.7,No,2.3,2,2,45,Married,No
EMP-1080,34,Male,Engineering,Director,Bachelor's,118984.45,2,0,2,44.2,No,4.7,3,2,36,Divorced,No
EMP-1081,40,Male,Sales,Analyst,Bachelor's,44301.1,1,1,7,50.3,Yes,3.1,3,1,42,Single,No
EMP-1082,31,Male,Engineering,Analyst,High School,39787.16,6,3,6,41.4,No,3.3,4,4,7,Married,No
EMP-1083,33,Male,Engineering,Team Lead,PhD,80496.91,9,2,3,38.8,Yes,1.9,4,3,33,Married,No
EMP-1084,33,Male,HR,Manager,Bachelor's,78879.53,1,0,7,52.4,Yes,3.2,5,2,21,Married,No
EMP-1085,26,Male,Engineering,Analyst,Bachelor's,49585.66,5,2,9,56.7,Yes,2.4,3,1,39,Divorced,Yes
EMP-1086,40,Male,Engineering,Manager,Master's,106539.41,6,2,9,57.5,No,1.0,3,2,1,Married,No
EMP-1087,32,Female,Marketing,Director,Bachelor's,124251.4,3,3,9,56.0,Yes,3.6,4,2,10,Married,Yes
EMP-1088,36,Other,Marketing,Executive,Bachelor's,141675.82,5,5,9,48.3,No,2.5,3,2,13,Married,No
EMP-1089,40,Other,Engineering,Associate,Master's,40998.76,3,0,5,54.7,Yes,1.9,4,1,28,Married,Yes
EMP-1090,40,Female,Sales,Associate,Master's,38514.41,11,10,1,58.2,Yes,1.8,4,1,49,Married,No
EMP-1091,41,Female,Engineering,Analyst,Bachelor's,51783.96,2,1,10,35.6,No,3.7,3,5,45,Single,No
EMP-1092,35,Male,Operations,Team Lead,Master's,61488.34,1,1,5,45.3,Yes,1.8,3,3,23,Married,Yes
EMP-1093,33,Female,Engineering,Senior Engineer,Master's,71211.94,6,5,7,40.1,No,2.5,3,4,1,Divorced,No
EMP-1094,35,Female,Engineering,Team Lead,Bachelor's,71135.23,4,2,1,59.9,Yes,1.0,4,1,44,Married,No
EMP-1095,23,Female,Sales,Analyst,High School,41688.96,7,5,9,58.2,Yes,1.3,3,2,29,Married,No
EMP-1096,24,Female,Engineering,Senior Engineer,High School,66591.15,1,1,9,55.1,Yes,1.0,3,1,2,Married,No
EMP-1097,25,Male,Engineering,Senior Engineer,Master's,75861.82,4,4,10,42.4,No,4.4,2,5,33,Married,Yes
EMP-1098,28,Female,Engineering,Senior Engineer,Bachelor's,85019.81,0,0,2,58.8,Yes,1.0,4,1,45,Single,No
EMP-1099,39,Female,Marketing,Associate,Bachelor's,39511.03,3,1,9,35.7,No,4.8,5,5,44,Married,No
EMP-1100,29,Male,Marketing,Manager,Bachelor's,96879.08,3,2,7,39.7,No,3.7,5,4,45,Married,No
EMP-1101,33,Other,Marketing,Manager,PhD,102607.7,3,3,2,50.4,Yes,3.1,4,3,49,Single,Yes
EMP-1102,46,Male,Finance,Analyst,High School,47020.68,6,6,6,54.8,Yes,4.1,2,1,33,Single,Yes
EMP-1103,33,Other,Sales,Associate,High School,29872.68,0,0,5,57.1,Yes,1.4,2,1,31,Married,No
EMP-1104,42,Female,Operations,Senior Engineer,Bachelor's,102463.47,21,1,7,42.5,No,3.3,3,4,6,Married,No
EMP-1105,29,Male,Marketing,Analyst,Master's,49208.66,4,2,1,44.8,No,1.2,4,4,32,Married,No
EMP-1106,34,Female,Finance,Associate,Bachelor's,44434.43,13,5,6,46.4,Yes,1.0,4,3,44,Single,No
EMP-1107,28,Male,Marketing,Manager,Master's,89282.17,2,1,7,35.7,No,2.5,3,4,41,Married,No
EMP-1108,33,Female,Sales,Manager,High School,74010.0,1,1,8,56.6,Yes,2.8,5,1,45,Married,No
EMP-1109,43,Female,Engineering,Associate,Bachelor's,32244.89,1,1,8,43.4,No,4.3,3,5,9,Married,No
EMP-1110,22,Female,Sales,Manager,Bachelor's,92566.06,7,4,7,40.0,No,2.0,4,3,11,Married,No
EMP-1111,39,Female,Engineering,Executive,Bachelor's,129819.16,1,1,8,45.2,No,4.0,5,5,43,Single,No
EMP-1112,38,Male,Sales,Executive,Bachelor's,150000.0,7,7,1,52.8,Yes,1.3,4,1,48,Divorced,No
EMP-1113,31,Male,Engineering,Senior Engineer,Master's,74998.64,0,0,8,56.8,Yes,1.0,4,1,27,Single,Yes
EMP-1114,24,Male,Engineering,Senior Engineer,Bachelor's,82865.41,6,0,4,40.4,No,1.2,4,3,45,Married,Yes
EMP-1115,37,Male,Operations,Analyst,Master's,54637.99,1,1,6,39.3,No,3.3,4,5,35,Single,No
EMP-1116,32,Male,Marketing,Associate,Bachelor's,36193.15,6,2,6,58.6,Yes,2.2,4,3,11,Married,No
EMP-1117,38,Male,HR,Manager,Master's,105971.96,0,0,10,48.8,No,2.1,3,3,26,Single,No
EMP-1118,36,Male,Sales,Associate,Bachelor's,36516.33,1,1,4,44.1,No,1.0,3,3,20,Divorced,No
EMP-1119,49,Male,HR,Associate,Bachelor's,42702.66,7,4,4,40.0,No,3.3,4,1,40,Married,No
EMP-1120,34,Female,Operations,Analyst,Bachelor's,49695.5,9,6,8,59.9,Yes,3.5,4,1,17,Married,No
EMP-1121,28,Male,Marketing,Team Lead,PhD,65716.24,4,3,7,53.0,Yes,1.0,4,2,9,Single,Yes
EMP-1122,37,Female,Marketing,Team Lead,PhD,70496.64,3,0,4,40.4,No,3.9,3,2,25,Single,No
EMP-1123,38,Male,Sales,Director,Master's,121052.31,4,2,4,37.3,No,3.5,3,3,25,Married,No
EMP-1124,47,Male,Sales,Associate,Master's,36248.26,6,5,9,40.0,No,2.9,3,4,45,Married,No
EMP-1125,43,Female,Marketing,Associate,Bachelor's,28018.9,2,2,9,41.2,No,1.2,5,2,1,Married,No
EMP-1126,39,Male,Operations,Executive,Bachelor's,147104.88,2,0,2,37.8,No,4.7,3,2,44,Divorced,Yes
EMP-1127,48,Male,Sales,Team Lead,Bachelor's,59994.6,11,9,4,40.7,No,2.9,3,1,11,Married,No
EMP-1128,26,Female,Sales,Manager,Master's,105389.84,6,1,8,37.9,Yes,1.3,2,3,9,Divorced,No
EMP-1129,31,Male,Sales,Manager,Bachelor's,99832.37,2,0,2,44.4,Yes,3.6,3,2,21,Single,Yes
EMP-1130,29,Male,Sales,Associate,Bachelor's,31409.38,1,1,2,47.2,Yes,3.0,3,1,28,Married,No
EMP-1131,33,Female,Operations,Director,Master's,134855.54,6,4,2,46.4,Yes,3.1,4,2,47,Married,No
EMP-1132,25,Male,Marketing,Manager,High School,83499.44,10,5,6,55.7,Yes,3.6,2,1,27,Married,No
EMP-1133,41,Female,Sales,Manager,Master's,104590.89,6,3,5,41.3,No,1.5,3,4,8,Divorced,No
EMP-1134,34,Male,Sales,Manager,Bachelor's,81332.41,6,6,4,57.2,Yes,3.3,2,1,23,Married,No
EMP-1135,24,Other,Sales,Analyst,Master's,50343.56,4,1,2,57.7,No,2.3,1,1,47,Divorced,No
EMP-1136,28,Female,Engineering,Senior Engineer,Master's,84996.16,0,0,7,59.0,Yes,3.3,4,3,36,Married,No
EMP-1137,39,Other,HR,Team Lead,Master's,65741.96,0,0,9,39.5,No,2.5,5,4,11,Single,No
EMP-1138,43,Female,Finance,Associate,Bachelor's,29130.93,1,0,3,41.1,No,1.2,4,4,33,Married,Yes
EMP-1139,52,Male,Marketing,Analyst,High School,44632.89,1,0,7,50.6,No,2.7,5,3,37,Married,No
EMP-1140,59,Female,Engineering,Analyst,High School,39617.43,7,6,8,38.5,No,4.0,2,3,14,Divorced,No
EMP-1141,39,Male,Marketing,Director,High School,102139.32,1,1,6,37.1,No,3.0,5,1,27,Married,No
EMP-1142,28,Female,Marketing,Associate,Master's,37678.02,0,0,6,36.8,Yes,3.2,3,1,18,Single,No
EMP-1143,22,Female,Engineering,Analyst,Bachelor's,45088.2,1,1,2,50.2,No,1.1,4,4,10,Single,No
EMP-1144,38,Male,Marketing,Manager,Bachelor's,100735.79,1,1,10,55.1,Yes,1.0,4,3,45,Single,No
EMP-1145,29,Other,Marketing,Executive,Bachelor's,148134.01,4,4,10,41.5,No,3.3,3,4,17,Married,No
EMP-1146,33,Male,Finance,Associate,PhD,38368.67,0,0,8,58.3,Yes,1.7,3,3,17,Single,Yes
EMP-1147,31,Female,Engineering,Associate,Bachelor's,36147.63,3,1,10,54.8,Yes,2.3,2,3,6,Married,No
EMP-1148,35,Female,Engineering,Senior Engineer,Bachelor's,84696.53,11,5,7,36.9,No,4.9,3,2,23,Married,No
EMP-1149,45,Male,Sales,Senior Engineer,Bachelor's,77135.33,5,0,7,45.2,No,3.6,3,4,33,Married,No
EMP-1150,37,Female,Engineering,Director,High School,126418.37,16,0,9,36.7,No,2.7,5,4,49,Single,No
EMP-1151,35,Female,Sales,Manager,PhD,103996.1,7,3,1,57.9,Yes,2.6,1,1,39,Married,No
EMP-1152,28,Male,Finance,Associate,High School,31426.29,2,2,3,53.6,Yes,4.1,4,3,43,Single,Yes
EMP-1153,23,Female,Engineering,Senior Engineer,Master's,83827.22,8,7,3,52.2,Yes,2.4,4,1,50,Divorced,Yes
EMP-1154,32,Male,Sales,Analyst,Master's,45604.84,8,3,7,52.1,Yes,3.6,1,1,35,Single,No
EMP-1155,36,Female,Operations,Associate,Master's,42230.06,5,3,3,42.1,No,2.2,3,3,43,Single,No
EMP-1156,50,Male,HR,Associate,Master's,38496.09,8,7,4,58.3,No,4.0,3,1,16,Single,No
EMP-1157,37,Other,Sales,Director,Master's,146842.35,14,3,5,58.1,Yes,1.0,3,1,36,Married,No
EMP-1158,44,Female,HR,Analyst,Bachelor's,43802.71,4,0,8,53.5,Yes,2.9,3,1,32,Single,No
EMP-1159,32,Male,Engineering,Manager,Bachelor's,78845.65,1,1,6,46.7,Yes,3.3,1,4,23,Married,No
EMP-1160,27,Male,Engineering,Analyst,Master's,45990.74,3,2,1,36.2,No,4.6,3,3,33,Married,No
EMP-1161,28,Female,Marketing,Associate,Master's,39312.06,1,0,7,35.7,No,1.5,4,2,37,Married,No
EMP-1162,30,Female,Sales,Analyst,Bachelor's,63366.98,21,2,5,38.5,Yes,3.8,4,3,21,Single,No
EMP-1163,53,Male,Engineering,Analyst,Bachelor's,44752.66,1,0,2,49.9,Yes,1.0,3,1,43,Single,Yes
EMP-1164,29,Male,Engineering,Manager,Bachelor's,80142.43,1,0,7,55.0,Yes,2.0,4,1,2,Married,No
EMP-1165,43,Male,Finance,Executive,Bachelor's,122680.27,5,2,3,58.7,Yes,3.0,5,1,17,Single,No
EMP-1166,29,Other,Engineering,Analyst,High School,47012.64,7,6,5,39.4,No,2.9,3,2,19,Married,No
EMP-1167,43,Male,Marketing,Senior Engineer,Bachelor's,75745.7,8,6,10,41.9,No,2.4,2,2,42,Married,Yes
EMP-1168,39,Female,Sales,Team Lead,High School,53840.36,5,5,3,36.4,Yes,3.0,1,1,26,Married,No
EMP-1169,35,Male,HR,Manager,Master's,91563.86,1,1,9,59.7,Yes,3.1,3,3,47,Single,No
EMP-1170,36,Other,Engineering,Senior Engineer,Master's,79331.23,3,1,5,54.5,Yes,2.8,4,2,48,Married,Yes
EMP-1171,31,Male,Engineering,Senior Engineer,Master's,80862.26,12,0,10,47.0,Yes,2.6,4,3,23,Single,No
EMP-1172,40,Male,HR,Director,Master's,113149.79,4,0,9,49.4,Yes,2.4,4,1,37,Married,No
EMP-1173,32,Other,Marketing,Manager,High School,77019.26,0,0,9,49.1,Yes,1.5,3,1,13,Single,No
EMP-1174,26,Other,Engineering,Analyst,High School,40175.89,4,3,3,41.4,Yes,1.0,4,1,6,Divorced,Yes
EMP-1175,26,Male,Sales,Executive,Master's,149878.18,0,0,8,39.6,No,3.1,3,5,25,Married,Yes
EMP-1176,37,Male,Sales,Analyst,Master's,51476.44,4,1,4,42.4,Yes,2.6,2,1,16,Single,Yes
EMP-1177,49,Male,Engineering,Team Lead,Master's,94063.29,21,7,10,41.2,No,2.2,2,4,37,Single,No
EMP-1178,37,Male,HR,Analyst,Master's,47492.84,4,2,10,48.9,Yes,1.0,5,4,27,Married,No
EMP-1179,35,Male,Engineering,Director,Master's,131401.65,5,5,7,42.7,No,4.6,4,2,7,Single,No
EMP-1180,38,Female,HR,Analyst,Master's,55748.33,7,4,10,53.2,Yes,3.4,4,1,23,Single,Yes
EMP-1181,46,Male,Engineering,Senior Engineer,Master's,76315.17,2,2,6,49.2,Yes,2.9,4,1,21,Divorced,No
EMP-1182,38,Female,Sales,Team Lead,Master's,73030.91,1,0,1,48.3,Yes,2.9,2,1,1,Married,No
EMP-1183,33,Male,Sales,Associate,High School,27951.0,5,4,9,58.8,No,4.9,3,4,28,Single,No
EMP-1184,45,Male,Sales,Senior Engineer,High School,62488.77,2,1,6,43.1,No,3.3,4,4,47,Married,No
EMP-1185,39,Female,Sales,Team Lead,Bachelor's,55389.4,4,0,1,50.9,Yes,1.4,5,2,45,Single,No
EMP-1186,48,Male,Operations,Associate,Bachelor's,31989.01,2,0,1,35.0,Yes,2.3,4,1,46,Divorced,Yes
EMP-1187,37,Female,Sales,Associate,Master's,41954.66,12,3,8,53.4,Yes,3.9,2,3,45,Single,Yes
EMP-1188,26,Male,Finance,Director,Bachelor's,124356.24,4,0,10,47.6,No,3.8,5,4,47,Married,No
EMP-1189,25,Other,Engineering,Manager,Bachelor's,87585.72,5,5,7,40.2,No,1.1,3,5,5,Married,Yes
EMP-1190,49,Female,Sales,Executive,Master's,139198.41,1,0,5,35.0,No,4.7,3,2,22,Single,No
EMP-1191,50,Female,Engineering,Senior Engineer,Bachelor's,65457.18,3,2,4,52.7,No,4.0,2,1,28,Single,No
EMP-1192,35,Male,Sales,Senior Engineer,Master's,76761.64,6,3,5,51.6,No,2.6,1,4,42,Married,Yes
EMP-1193,33,Male,Marketing,Manager,Bachelor's,88351.99,3,2,4,51.6,Yes,3.7,4,1,19,Divorced,No
EMP-1194,48,Male,Finance,Associate,Bachelor's,36386.85,2,1,3,45.9,Yes,3.0,4,1,36,Married,No
EMP-1195,27,Female,HR,Analyst,Bachelor's,46989.39,7,7,2,51.0,Yes,3.6,3,1,40,Married,No
EMP-1196,29,Male,Marketing,Analyst,Bachelor's,59121.89,15,10,6,49.3,Yes,3.9,3,1,26,Married,No
EMP-1197,41,Male,Engineering,Executive,High School,112544.0,1,1,3,41.0,No,1.2,4,3,13,Married,No
EMP-1198,33,Male,Engineering,Executive,Bachelor's,141302.86,7,3,2,48.0,No,4.1,3,2,4,Married,No
EMP-1199,36,Male,Finance,Manager,Bachelor's,80479.44,0,0,3,47.9,Yes,2.0,3,4,23,Married,No
EMP-1200,35,Male,Engineering,Director,Bachelor's,123458.84,0,0,8,55.6,No,4.5,3,4,9,Married,No
EMP-1201,39,Male,Engineering,Senior Engineer,Master's,87111.61,7,5,6,45.8,Yes,3.7,5,1,33,Single,No
EMP-1202,47,Male,Operations,Associate,High School,25683.76,0,0,5,45.9,No,4.3,5,5,12,Divorced,No
EMP-1203,37,Female,Operations,Associate,Bachelor's,35512.37,0,0,6,59.6,Yes,3.4,3,1,44,Single,No
EMP-1204,41,Male,Marketing,Associate,High School,35463.13,2,0,6,57.4,Yes,3.0,4,1,45,Single,No
EMP-1205,22,Male,Sales,Associate,PhD,42233.99,7,7,5,41.1,Yes,1.7,5,3,42,Married,Yes
EMP-1206,36,Female,Finance,Manager,Master's,83541.01,0,0,9,57.8,Yes,1.2,1,1,34,Married,No
EMP-1207,29,Female,Engineering,Senior Engineer,PhD,99828.33,7,1,8,38.4,Yes,1.0,5,1,6,Single,Yes
EMP-1208,26,Male,Sales,Team Lead,PhD,102592.14,16,1,2,56.3,Yes,3.4,3,1,50,Single,No
EMP-1209,29,Female,Sales,Executive,Bachelor's,147305.92,3,3,9,39.6,No,3.6,4,4,4,Married,No
EMP-1210,33,Other,Operations,Manager,Master's,85362.65,6,5,2,45.6,No,3.5,4,2,29,Married,No
EMP-1211,43,Female,Operations,Associate,Bachelor's,42865.64,15,1,1,59.6,Yes,1.0,3,1,41,Single,No
EMP-1212,25,Other,Marketing,Team Lead,Master's,68134.22,0,0,5,37.4,No,3.5,4,2,5,Single,No
EMP-1213,36,Female,Engineering,Senior Engineer,Bachelor's,72973.66,7,7,4,56.0,Yes,1.7,4,3,25,Married,No
EMP-1214,32,Male,Sales,Team Lead,Bachelor's,67738.95,1,0,8,47.4,No,5.0,2,5,24,Divorced,No
EMP-1215,33,Male,Engineering,Manager,PhD,108488.07,5,0,7,37.8,No,4.5,4,5,10,Single,No
EMP-1216,44,Female,Operations,Analyst,Master's,55436.67,3,3,1,58.8,Yes,2.5,5,1,6,Divorced,No
EMP-1217,40,Other,Engineering,Senior Engineer,PhD,78484.29,1,0,5,48.7,Yes,3.3,5,1,46,Divorced,No
EMP-1218,47,Male,Engineering,Associate,High School,31421.42,1,0,8,57.0,Yes,1.0,4,3,46,Single,Yes
EMP-1219,35,Male,Marketing,Director,Bachelor's,117441.64,10,8,8,56.7,Yes,1.0,3,1,5,Married,Yes
EMP-1220,30,Female,Sales,Team Lead,Bachelor's,62624.19,1,1,6,35.4,No,3.5,3,1,14,Married,No
EMP-1221,34,Male,Finance,Executive,Bachelor's,150000.0,6,3,7,41.6,No,3.9,3,2,20,Married,No
EMP-1222,38,Female,Engineering,Director,Bachelor's,98909.24,1,1,6,43.4,No,1.2,4,5,10,Married,No
EMP-1223,37,Female,Finance,Analyst,Bachelor's,43882.85,8,0,3,48.4,No,1.8,4,5,4,Married,No
EMP-1224,27,Female,Engineering,Team Lead,Master's,73176.25,2,2,6,36.8,No,3.1,5,3,26,Married,Yes
EMP-1225,37,Female,Engineering,Analyst,Bachelor's,47905.81,6,1,7,44.7,No,1.3,2,1,23,Married,No
EMP-1226,38,Female,Sales,Analyst,Master's,54072.58,2,1,1,55.4,Yes,1.5,5,1,41,Divorced,No
EMP-1227,56,Female,Engineering,Senior Engineer,Master's,74056.98,1,0,7,39.3,No,2.9,5,2,15,Married,No
EMP-1228,51,Female,HR,Senior Engineer,Master's,92416.93,12,3,3,52.5,Yes,3.3,4,2,26,Married,No
EMP-1229,29,Female,Engineering,Team Lead,Bachelor's,63830.54,0,0,1,46.5,Yes,1.1,5,4,16,Divorced,No
